Forked 30796
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30796)
Strategy 0: first ans is 0
Forked 30797
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30797)
Strategy 1: first ans is 0
Forked 30798
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30798)
Strategy 2: first ans is 1
Forked 30799
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30799)
Strategy 3: first ans is 1
Forked 30823
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30823)
30823: Started!
30823: Number of players: 6, position: 4, number of turns: 1000
30823: Random seed: 2035319739
Strategy 4: first ans is 1
Forked 30824
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30824)
Strategy 5: first ans is 0
30823: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30823: 3.000000e+00 1.500000e+00 1.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30823: 2.666667e+00 2.333333e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30823: 2.500000e+00 1.750000e+00 1.750000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30823: 2.600000e+00 1.600000e+00 1.400000e+00 4.000000e-01 0.000000e+00 0.000000e+00
30823: 2.500000e+00 1.500000e+00 1.333333e+00 6.666667e-01 0.000000e+00 0.000000e+00
30823: 2.428571e+00 1.571429e+00 1.285714e+00 7.142857e-01 0.000000e+00 0.000000e+00
30823: 2.500000e+00 1.375000e+00 1.500000e+00 6.250000e-01 0.000000e+00 0.000000e+00
30823: 2.444444e+00 1.555556e+00 1.444444e+00 5.555556e-01 0.000000e+00 0.000000e+00
30823: 2.400000e+00 1.500000e+00 1.500000e+00 6.000000e-01 0.000000e+00 0.000000e+00
30823: 2.363636e+00 1.545455e+00 1.454545e+00 5.454545e-01 9.090909e-02 0.000000e+00
30823: 2.416667e+00 1.500000e+00 1.500000e+00 5.000000e-01 8.333333e-02 0.000000e+00
30823: 2.384615e+00 1.615385e+00 1.384615e+00 4.615385e-01 1.538462e-01 0.000000e+00
30823: 2.428571e+00 1.500000e+00 1.500000e+00 4.285714e-01 1.428571e-01 0.000000e+00
30823: 2.466667e+00 1.533333e+00 1.400000e+00 4.000000e-01 1.333333e-01 6.666667e-02
30823: 2.500000e+00 1.562500e+00 1.375000e+00 3.750000e-01 1.250000e-01 6.250000e-02
30823: 2.529412e+00 1.529412e+00 1.411765e+00 3.529412e-01 1.176471e-01 5.882353e-02
30823: 2.555556e+00 1.555556e+00 1.388889e+00 3.333333e-01 1.111111e-01 5.555556e-02
30823: 2.526316e+00 1.578947e+00 1.421053e+00 3.157895e-01 1.052632e-01 5.263158e-02
30823: 2.550000e+00 1.500000e+00 1.450000e+00 3.500000e-01 1.000000e-01 5.000000e-02
30823: 2.619048e+00 1.523810e+00 1.380952e+00 3.333333e-01 9.523810e-02 4.761905e-02
30823: 2.590909e+00 1.590909e+00 1.363636e+00 3.181818e-01 9.090909e-02 4.545455e-02
30823: 2.608696e+00 1.521739e+00 1.391304e+00 3.043478e-01 1.304348e-01 4.347826e-02
30823: 2.583333e+00 1.583333e+00 1.375000e+00 2.916667e-01 1.250000e-01 4.166667e-02
30823: 2.600000e+00 1.520000e+00 1.440000e+00 2.800000e-01 1.200000e-01 4.000000e-02
30823: 2.576923e+00 1.538462e+00 1.423077e+00 3.076923e-01 1.153846e-01 3.846154e-02
30823: 2.592593e+00 1.555556e+00 1.407407e+00 2.962963e-01 1.111111e-01 3.703704e-02
30823: 2.571429e+00 1.571429e+00 1.428571e+00 2.857143e-01 1.071429e-01 3.571429e-02
30823: 2.586207e+00 1.517241e+00 1.448276e+00 3.103448e-01 1.034483e-01 3.448276e-02
30823: 2.533333e+00 1.566667e+00 1.433333e+00 3.333333e-01 1.000000e-01 3.333333e-02
30823: 2.548387e+00 1.612903e+00 1.387097e+00 3.225806e-01 9.677419e-02 3.225806e-02
30823: 2.500000e+00 1.593750e+00 1.437500e+00 3.125000e-01 1.250000e-01 3.125000e-02
30823: 2.515152e+00 1.575758e+00 1.454545e+00 3.030303e-01 1.212121e-01 3.030303e-02
30823: 2.500000e+00 1.558824e+00 1.470588e+00 3.235294e-01 1.176471e-01 2.941176e-02
30823: 2.457143e+00 1.571429e+00 1.485714e+00 3.142857e-01 1.428571e-01 2.857143e-02
30823: 2.444444e+00 1.555556e+00 1.500000e+00 3.055556e-01 1.666667e-01 2.777778e-02
30823: 2.405405e+00 1.621622e+00 1.459459e+00 2.972973e-01 1.621622e-01 5.405405e-02
30823: 2.421053e+00 1.578947e+00 1.473684e+00 3.157895e-01 1.578947e-01 5.263158e-02
30823: 2.384615e+00 1.589744e+00 1.487179e+00 3.333333e-01 1.538462e-01 5.128205e-02
30823: 2.400000e+00 1.575000e+00 1.475000e+00 3.250000e-01 1.750000e-01 5.000000e-02
30823: 2.365854e+00 1.585366e+00 1.512195e+00 3.170732e-01 1.707317e-01 4.878049e-02
30823: 2.357143e+00 1.595238e+00 1.500000e+00 3.333333e-01 1.666667e-01 4.761905e-02
30823: 2.348837e+00 1.604651e+00 1.511628e+00 3.255814e-01 1.627907e-01 4.651163e-02
30823: 2.340909e+00 1.568182e+00 1.545455e+00 3.409091e-01 1.590909e-01 4.545455e-02
30823: 2.333333e+00 1.600000e+00 1.533333e+00 3.333333e-01 1.555556e-01 4.444444e-02
30823: 2.304348e+00 1.630435e+00 1.543478e+00 3.260870e-01 1.521739e-01 4.347826e-02
30823: 2.297872e+00 1.595745e+00 1.574468e+00 3.191489e-01 1.702128e-01 4.255319e-02
30823: 2.270833e+00 1.625000e+00 1.541667e+00 3.333333e-01 1.875000e-01 4.166667e-02
30823: 2.285714e+00 1.632653e+00 1.530612e+00 3.265306e-01 1.836735e-01 4.081633e-02
30823: 2.260000e+00 1.660000e+00 1.540000e+00 3.200000e-01 1.800000e-01 4.000000e-02
30823: 2.294118e+00 1.647059e+00 1.529412e+00 3.137255e-01 1.764706e-01 3.921569e-02
30823: 2.269231e+00 1.673077e+00 1.519231e+00 3.076923e-01 1.923077e-01 3.846154e-02
30823: 2.283019e+00 1.660377e+00 1.528302e+00 3.018868e-01 1.886792e-01 3.773585e-02
30823: 2.259259e+00 1.703704e+00 1.518519e+00 2.962963e-01 1.851852e-01 3.703704e-02
30823: 2.272727e+00 1.690909e+00 1.527273e+00 2.909091e-01 1.818182e-01 3.636364e-02
30823: 2.250000e+00 1.714286e+00 1.517857e+00 3.035714e-01 1.785714e-01 3.571429e-02
30823: 2.245614e+00 1.701754e+00 1.543860e+00 2.982456e-01 1.754386e-01 3.508772e-02
30823: 2.258621e+00 1.706897e+00 1.534483e+00 2.931034e-01 1.724138e-01 3.448276e-02
30823: 2.254237e+00 1.677966e+00 1.559322e+00 3.050847e-01 1.694915e-01 3.389831e-02
30823: 2.250000e+00 1.666667e+00 1.583333e+00 3.000000e-01 1.666667e-01 3.333333e-02
30823: 2.245902e+00 1.672131e+00 1.557377e+00 3.114754e-01 1.803279e-01 3.278689e-02
30823: 2.225806e+00 1.677419e+00 1.564516e+00 3.064516e-01 1.935484e-01 3.225806e-02
30823: 2.222222e+00 1.698413e+00 1.555556e+00 3.015873e-01 1.904762e-01 3.174603e-02
30823: 2.203125e+00 1.703125e+00 1.562500e+00 2.968750e-01 2.031250e-01 3.125000e-02
30823: 2.215385e+00 1.692308e+00 1.553846e+00 2.923077e-01 2.000000e-01 4.615385e-02
30823: 2.212121e+00 1.696970e+00 1.545455e+00 3.030303e-01 1.969697e-01 4.545455e-02
30823: 2.208955e+00 1.686567e+00 1.552239e+00 2.985075e-01 2.089552e-01 4.477612e-02
30823: 2.205882e+00 1.705882e+00 1.544118e+00 2.941176e-01 2.058824e-01 4.411765e-02
30823: 2.202899e+00 1.681159e+00 1.579710e+00 2.898551e-01 2.028986e-01 4.347826e-02
30823: 2.200000e+00 1.700000e+00 1.557143e+00 3.000000e-01 2.000000e-01 4.285714e-02
