Forked 33687
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33687)
33687: Started!
33687: Number of players: 5, position: 0, number of turns: 1000
33687: Random seed: 525041459
Strategy 0: first ans is 1
Forked 33688
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33688)
Strategy 1: first ans is 0
Forked 33712
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33712)
Strategy 2: first ans is 1
Forked 33713
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33713)
Strategy 3: first ans is 0
Forked 33714
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33714)
Strategy 4: first ans is 0
33687: 3.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
33687: 2.500000e+00 1.000000e+00 1.000000e+00 0.000000e+00 5.000000e-01
33687: 2.333333e+00 1.666667e+00 6.666667e-01 0.000000e+00 3.333333e-01
33687: 2.250000e+00 1.500000e+00 1.000000e+00 0.000000e+00 2.500000e-01
33687: 2.400000e+00 1.600000e+00 8.000000e-01 0.000000e+00 2.000000e-01
33687: 2.333333e+00 1.333333e+00 1.000000e+00 1.666667e-01 1.666667e-01
33687: 2.285714e+00 1.428571e+00 8.571429e-01 2.857143e-01 1.428571e-01
33687: 2.375000e+00 1.375000e+00 8.750000e-01 2.500000e-01 1.250000e-01
33687: 2.444444e+00 1.444444e+00 7.777778e-01 2.222222e-01 1.111111e-01
33687: 2.400000e+00 1.400000e+00 9.000000e-01 2.000000e-01 1.000000e-01
33687: 2.454545e+00 1.454545e+00 8.181818e-01 1.818182e-01 9.090909e-02
33687: 2.416667e+00 1.416667e+00 8.333333e-01 1.666667e-01 1.666667e-01
33687: 2.384615e+00 1.538462e+00 7.692308e-01 1.538462e-01 1.538462e-01
33687: 2.428571e+00 1.500000e+00 7.857143e-01 1.428571e-01 1.428571e-01
33687: 2.400000e+00 1.600000e+00 7.333333e-01 1.333333e-01 1.333333e-01
33687: 2.437500e+00 1.500000e+00 8.125000e-01 1.250000e-01 1.250000e-01
33687: 2.470588e+00 1.529412e+00 7.647059e-01 1.176471e-01 1.176471e-01
33687: 2.444444e+00 1.500000e+00 7.777778e-01 1.666667e-01 1.111111e-01
33687: 2.421053e+00 1.526316e+00 7.894737e-01 1.578947e-01 1.052632e-01
33687: 2.400000e+00 1.550000e+00 8.000000e-01 1.500000e-01 1.000000e-01
33687: 2.428571e+00 1.523810e+00 8.095238e-01 1.428571e-01 9.523810e-02
33687: 2.409091e+00 1.590909e+00 7.727273e-01 1.363636e-01 9.090909e-02
33687: 2.391304e+00 1.565217e+00 8.260870e-01 1.304348e-01 8.695652e-02
33687: 2.375000e+00 1.625000e+00 7.916667e-01 1.250000e-01 8.333333e-02
33687: 2.400000e+00 1.560000e+00 8.400000e-01 1.200000e-01 8.000000e-02
33687: 2.384615e+00 1.576923e+00 8.076923e-01 1.538462e-01 7.692308e-02
33687: 2.370370e+00 1.555556e+00 8.518519e-01 1.481481e-01 7.407407e-02
33687: 2.392857e+00 1.571429e+00 8.214286e-01 1.428571e-01 7.142857e-02
33687: 2.379310e+00 1.551724e+00 8.620690e-01 1.379310e-01 6.896552e-02
33687: 2.366667e+00 1.600000e+00 8.333333e-01 1.333333e-01 6.666667e-02
33687: 2.354839e+00 1.580645e+00 8.709677e-01 1.290323e-01 6.451613e-02
33687: 2.343750e+00 1.562500e+00 9.062500e-01 1.250000e-01 6.250000e-02
33687: 2.363636e+00 1.575758e+00 8.787879e-01 1.212121e-01 6.060606e-02
33687: 2.382353e+00 1.529412e+00 9.117647e-01 1.176471e-01 5.882353e-02
33687: 2.371429e+00 1.542857e+00 9.142857e-01 1.142857e-01 5.714286e-02
33687: 2.361111e+00 1.527778e+00 9.444444e-01 1.111111e-01 5.555556e-02
33687: 2.324324e+00 1.567568e+00 9.459459e-01 1.081081e-01 5.405405e-02
33687: 2.315789e+00 1.578947e+00 9.473684e-01 1.052632e-01 5.263158e-02
33687: 2.282051e+00 1.564103e+00 9.743590e-01 1.025641e-01 7.692308e-02
33687: 2.300000e+00 1.575000e+00 9.500000e-01 1.000000e-01 7.500000e-02
33687: 2.268293e+00 1.560976e+00 9.756098e-01 9.756098e-02 9.756098e-02
33687: 2.261905e+00 1.595238e+00 9.523810e-01 9.523810e-02 9.523810e-02
33687: 2.232558e+00 1.581395e+00 1.000000e+00 9.302326e-02 9.302326e-02
33687: 2.250000e+00 1.568182e+00 1.000000e+00 9.090909e-02 9.090909e-02
33687: 2.222222e+00 1.600000e+00 1.000000e+00 8.888889e-02 8.888889e-02
33687: 2.217391e+00 1.565217e+00 1.021739e+00 1.086957e-01 8.695652e-02
33687: 2.191489e+00 1.595745e+00 1.000000e+00 1.276596e-01 8.510638e-02
33687: 2.187500e+00 1.562500e+00 1.041667e+00 1.250000e-01 8.333333e-02
33687: 2.163265e+00 1.571429e+00 1.061224e+00 1.224490e-01 8.163265e-02
