Forked 28623
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28623)
Strategy 0: first ans is 1
Forked 28624
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28624)
Strategy 1: first ans is 0
Forked 28625
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28625)
28625: Started!
28625: Number of players: 6, position: 2, number of turns: 1000
28625: Random seed: 74457592
Strategy 2: first ans is 0
Forked 28626
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28626)
Strategy 3: first ans is 1
Forked 28650
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28650)
Strategy 4: first ans is 0
Forked 28674
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28674)
Strategy 5: first ans is 0
28625: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
28625: 3.000000e+00 1.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
28625: 2.666667e+00 1.666667e+00 6.666667e-01 3.333333e-01 6.666667e-01 0.000000e+00
28625: 2.750000e+00 1.250000e+00 1.250000e+00 2.500000e-01 5.000000e-01 0.000000e+00
28625: 3.000000e+00 1.400000e+00 1.000000e+00 2.000000e-01 4.000000e-01 0.000000e+00
28625: 3.166667e+00 1.333333e+00 1.000000e+00 1.666667e-01 3.333333e-01 0.000000e+00
28625: 3.000000e+00 1.428571e+00 1.000000e+00 1.428571e-01 4.285714e-01 0.000000e+00
28625: 3.000000e+00 1.500000e+00 1.000000e+00 1.250000e-01 3.750000e-01 0.000000e+00
28625: 2.888889e+00 1.444444e+00 1.222222e+00 1.111111e-01 3.333333e-01 0.000000e+00
28625: 2.800000e+00 1.500000e+00 1.100000e+00 3.000000e-01 3.000000e-01 0.000000e+00
28625: 2.818182e+00 1.545455e+00 1.090909e+00 2.727273e-01 2.727273e-01 0.000000e+00
28625: 2.750000e+00 1.583333e+00 1.166667e+00 2.500000e-01 2.500000e-01 0.000000e+00
28625: 2.692308e+00 1.538462e+00 1.230769e+00 3.076923e-01 2.307692e-01 0.000000e+00
28625: 2.714286e+00 1.571429e+00 1.142857e+00 3.571429e-01 2.142857e-01 0.000000e+00
28625: 2.800000e+00 1.466667e+00 1.200000e+00 3.333333e-01 2.000000e-01 0.000000e+00
28625: 2.875000e+00 1.500000e+00 1.125000e+00 3.125000e-01 1.875000e-01 0.000000e+00
28625: 2.823529e+00 1.470588e+00 1.235294e+00 2.941176e-01 1.764706e-01 0.000000e+00
28625: 2.777778e+00 1.555556e+00 1.222222e+00 2.777778e-01 1.666667e-01 0.000000e+00
28625: 2.736842e+00 1.526316e+00 1.315789e+00 2.631579e-01 1.578947e-01 0.000000e+00
28625: 2.750000e+00 1.550000e+00 1.300000e+00 2.500000e-01 1.500000e-01 0.000000e+00
28625: 2.714286e+00 1.523810e+00 1.333333e+00 2.380952e-01 1.904762e-01 0.000000e+00
28625: 2.681818e+00 1.590909e+00 1.272727e+00 2.727273e-01 1.818182e-01 0.000000e+00
28625: 2.652174e+00 1.521739e+00 1.304348e+00 2.608696e-01 2.608696e-01 0.000000e+00
28625: 2.625000e+00 1.583333e+00 1.250000e+00 2.916667e-01 2.500000e-01 0.000000e+00
28625: 2.600000e+00 1.520000e+00 1.360000e+00 2.800000e-01 2.400000e-01 0.000000e+00
28625: 2.576923e+00 1.538462e+00 1.307692e+00 3.076923e-01 2.692308e-01 0.000000e+00
28625: 2.592593e+00 1.518519e+00 1.333333e+00 2.962963e-01 2.592593e-01 0.000000e+00
