Forked 43009
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43009)
Strategy 0: first ans is 0
Forked 43010
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43010)
43010: Started!
43010: Number of players: 3, position: 1, number of turns: 1000
43010: Random seed: 1324539730
Strategy 1: first ans is 1
Forked 43011
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 43011)
Strategy 2: first ans is 0
43010: 2.000000e+00 1.000000e+00 0.000000e+00
43010: 2.000000e+00 1.000000e+00 0.000000e+00
43010: 1.666667e+00 1.333333e+00 0.000000e+00
43010: 1.750000e+00 1.250000e+00 0.000000e+00
43010: 1.800000e+00 1.200000e+00 0.000000e+00
43010: 1.666667e+00 1.333333e+00 0.000000e+00
43010: 1.571429e+00 1.428571e+00 0.000000e+00
43010: 1.625000e+00 1.375000e+00 0.000000e+00
43010: 1.555556e+00 1.444444e+00 0.000000e+00
43010: 1.700000e+00 1.300000e+00 0.000000e+00
43010: 1.636364e+00 1.272727e+00 9.090909e-02
43010: 1.583333e+00 1.250000e+00 1.666667e-01
43010: 1.538462e+00 1.230769e+00 2.307692e-01
43010: 1.642857e+00 1.142857e+00 2.142857e-01
43010: 1.600000e+00 1.133333e+00 2.666667e-01
43010: 1.562500e+00 1.125000e+00 3.125000e-01
43010: 1.588235e+00 1.117647e+00 2.941176e-01
43010: 1.555556e+00 1.111111e+00 3.333333e-01
43010: 1.578947e+00 1.052632e+00 3.684211e-01
43010: 1.600000e+00 1.050000e+00 3.500000e-01
43010: 1.571429e+00 1.047619e+00 3.809524e-01
43010: 1.590909e+00 1.045455e+00 3.636364e-01
43010: 1.521739e+00 1.086957e+00 3.913043e-01
43010: 1.583333e+00 1.041667e+00 3.750000e-01
43010: 1.560000e+00 1.080000e+00 3.600000e-01
43010: 1.576923e+00 1.076923e+00 3.461538e-01
43010: 1.555556e+00 1.074074e+00 3.703704e-01
43010: 1.571429e+00 1.071429e+00 3.571429e-01
43010: 1.586207e+00 1.068966e+00 3.448276e-01
43010: 1.566667e+00 1.100000e+00 3.333333e-01
43010: 1.612903e+00 1.064516e+00 3.225806e-01
43010: 1.562500e+00 1.093750e+00 3.437500e-01
43010: 1.575758e+00 1.060606e+00 3.636364e-01
43010: 1.588235e+00 1.058824e+00 3.529412e-01
43010: 1.600000e+00 1.057143e+00 3.428571e-01
43010: 1.583333e+00 1.083333e+00 3.333333e-01
43010: 1.567568e+00 1.081081e+00 3.513514e-01
43010: 1.578947e+00 1.052632e+00 3.684211e-01
43010: 1.564103e+00 1.076923e+00 3.589744e-01
43010: 1.575000e+00 1.050000e+00 3.750000e-01
43010: 1.585366e+00 1.048780e+00 3.658537e-01
43010: 1.547619e+00 1.071429e+00 3.809524e-01
43010: 1.558140e+00 1.069767e+00 3.720930e-01
43010: 1.568182e+00 1.068182e+00 3.636364e-01
43010: 1.555556e+00 1.088889e+00 3.555556e-01
43010: 1.565217e+00 1.065217e+00 3.695652e-01
43010: 1.574468e+00 1.042553e+00 3.829787e-01
43010: 1.562500e+00 1.062500e+00 3.750000e-01
43010: 1.571429e+00 1.040816e+00 3.877551e-01
43010: 1.560000e+00 1.060000e+00 3.800000e-01
43010: 1.568627e+00 1.039216e+00 3.921569e-01
43010: 1.557692e+00 1.038462e+00 4.038462e-01
43010: 1.566038e+00 1.018868e+00 4.150943e-01
43010: 1.574074e+00 1.018519e+00 4.074074e-01
43010: 1.563636e+00 1.018182e+00 4.181818e-01
43010: 1.553571e+00 1.017857e+00 4.285714e-01
43010: 1.543860e+00 1.017544e+00 4.385965e-01
43010: 1.551724e+00 1.000000e+00 4.482759e-01
43010: 1.576271e+00 9.830508e-01 4.406780e-01
43010: 1.566667e+00 9.833333e-01 4.500000e-01
43010: 1.573770e+00 9.672131e-01 4.590164e-01
43010: 1.580645e+00 9.677419e-01 4.516129e-01
43010: 1.571429e+00 9.682540e-01 4.603175e-01
43010: 1.578125e+00 9.687500e-01 4.531250e-01
43010: 1.553846e+00 1.000000e+00 4.461538e-01
43010: 1.560606e+00 1.000000e+00 4.393939e-01
43010: 1.582090e+00 9.850746e-01 4.328358e-01
43010: 1.588235e+00 9.852941e-01 4.264706e-01
43010: 1.579710e+00 1.000000e+00 4.202899e-01
43010: 1.585714e+00 1.000000e+00 4.142857e-01
43010: 1.577465e+00 1.000000e+00 4.225352e-01
43010: 1.583333e+00 1.000000e+00 4.166667e-01
43010: 1.575342e+00 1.013699e+00 4.109589e-01
43010: 1.581081e+00 1.013514e+00 4.054054e-01
43010: 1.573333e+00 1.013333e+00 4.133333e-01
43010: 1.552632e+00 1.026316e+00 4.210526e-01
43010: 1.558442e+00 1.025974e+00 4.155844e-01
43010: 1.564103e+00 1.012821e+00 4.230769e-01
43010: 1.569620e+00 1.012658e+00 4.177215e-01
43010: 1.562500e+00 1.012500e+00 4.250000e-01
43010: 1.580247e+00 1.000000e+00 4.197531e-01
43010: 1.585366e+00 1.000000e+00 4.146341e-01
43010: 1.590361e+00 1.000000e+00 4.096386e-01
43010: 1.571429e+00 1.011905e+00 4.166667e-01
43010: 1.564706e+00 1.011765e+00 4.235294e-01
43010: 1.569767e+00 1.011628e+00 4.186047e-01
43010: 1.586207e+00 1.000000e+00 4.137931e-01
43010: 1.579545e+00 1.000000e+00 4.204545e-01
43010: 1.573034e+00 1.011236e+00 4.157303e-01
43010: 1.566667e+00 1.011111e+00 4.222222e-01
43010: 1.571429e+00 1.010989e+00 4.175824e-01
43010: 1.565217e+00 1.010870e+00 4.239130e-01
43010: 1.569892e+00 1.000000e+00 4.301075e-01
43010: 1.585106e+00 9.893617e-01 4.255319e-01
43010: 1.578947e+00 1.000000e+00 4.210526e-01
43010: 1.583333e+00 1.000000e+00 4.166667e-01
43010: 1.577320e+00 1.010309e+00 4.123711e-01
43010: 1.581633e+00 1.010204e+00 4.081633e-01
43010: 1.585859e+00 1.010101e+00 4.040404e-01
43010: 1.580000e+00 1.020000e+00 4.000000e-01
43010: 1.574257e+00 1.019802e+00 4.059406e-01
43010: 1.568627e+00 1.029412e+00 4.019608e-01
43010: 1.572816e+00 1.019417e+00 4.077670e-01
43010: 1.567308e+00 1.019231e+00 4.134615e-01
43010: 1.571429e+00 1.009524e+00 4.190476e-01
43010: 1.575472e+00 1.009434e+00 4.150943e-01
43010: 1.579439e+00 1.009346e+00 4.112150e-01
43010: 1.574074e+00 1.009259e+00 4.166667e-01
43010: 1.568807e+00 1.009174e+00 4.220183e-01
43010: 1.563636e+00 1.009091e+00 4.272727e-01
43010: 1.558559e+00 1.009009e+00 4.324324e-01
43010: 1.562500e+00 1.008929e+00 4.285714e-01
43010: 1.575221e+00 1.000000e+00 4.247788e-01
43010: 1.578947e+00 1.000000e+00 4.210526e-01
43010: 1.573913e+00 1.000000e+00 4.260870e-01
43010: 1.568966e+00 1.008621e+00 4.224138e-01
43010: 1.572650e+00 1.000000e+00 4.273504e-01
43010: 1.567797e+00 1.000000e+00 4.322034e-01
43010: 1.571429e+00 9.915966e-01 4.369748e-01
43010: 1.575000e+00 9.916667e-01 4.333333e-01
43010: 1.578512e+00 9.917355e-01 4.297521e-01
43010: 1.565574e+00 1.000000e+00 4.344262e-01
43010: 1.577236e+00 9.918699e-01 4.308943e-01
43010: 1.572581e+00 1.000000e+00 4.274194e-01
43010: 1.568000e+00 1.000000e+00 4.320000e-01
43010: 1.571429e+00 9.920635e-01 4.365079e-01
43010: 1.559055e+00 1.007874e+00 4.330709e-01
43010: 1.562500e+00 1.007812e+00 4.296875e-01
43010: 1.565891e+00 1.000000e+00 4.341085e-01
43010: 1.561538e+00 1.000000e+00 4.384615e-01
43010: 1.564885e+00 9.923664e-01 4.427481e-01
43010: 1.575758e+00 9.848485e-01 4.393939e-01
43010: 1.563910e+00 9.924812e-01 4.436090e-01
43010: 1.567164e+00 9.850746e-01 4.477612e-01
43010: 1.570370e+00 9.851852e-01 4.444444e-01
43010: 1.566176e+00 9.926471e-01 4.411765e-01
43010: 1.576642e+00 9.854015e-01 4.379562e-01
43010: 1.572464e+00 9.855072e-01 4.420290e-01
43010: 1.568345e+00 9.928058e-01 4.388489e-01
43010: 1.578571e+00 9.857143e-01 4.357143e-01
43010: 1.574468e+00 9.858156e-01 4.397163e-01
43010: 1.570423e+00 9.929577e-01 4.366197e-01
43010: 1.566434e+00 1.000000e+00 4.335664e-01
43010: 1.569444e+00 9.930556e-01 4.375000e-01
43010: 1.572414e+00 9.862069e-01 4.413793e-01
43010: 1.568493e+00 9.863014e-01 4.452055e-01
43010: 1.571429e+00 9.863946e-01 4.421769e-01
43010: 1.567568e+00 9.932432e-01 4.391892e-01
43010: 1.563758e+00 9.932886e-01 4.429530e-01
43010: 1.573333e+00 9.866667e-01 4.400000e-01
43010: 1.562914e+00 9.933775e-01 4.437086e-01
43010: 1.565789e+00 9.868421e-01 4.473684e-01
