Forked 42604
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42604)
42604: Started!
42604: Number of players: 3, position: 0, number of turns: 1000
42604: Random seed: 3570404183
Strategy 0: first ans is 0
Forked 42605
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42605)
Strategy 1: first ans is 0
Forked 42629
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 42629)
Strategy 2: first ans is 1
42604: 2.000000e+00 1.000000e+00 0.000000e+00
42604: 1.500000e+00 1.500000e+00 0.000000e+00
42604: 1.666667e+00 1.000000e+00 3.333333e-01
42604: 1.500000e+00 1.250000e+00 2.500000e-01
42604: 1.600000e+00 1.200000e+00 2.000000e-01
42604: 1.500000e+00 1.333333e+00 1.666667e-01
42604: 1.571429e+00 1.142857e+00 2.857143e-01
42604: 1.375000e+00 1.250000e+00 3.750000e-01
42604: 1.444444e+00 1.111111e+00 4.444444e-01
42604: 1.400000e+00 1.100000e+00 5.000000e-01
42604: 1.454545e+00 1.090909e+00 4.545455e-01
42604: 1.416667e+00 1.166667e+00 4.166667e-01
42604: 1.538462e+00 1.076923e+00 3.846154e-01
42604: 1.500000e+00 1.142857e+00 3.571429e-01
42604: 1.600000e+00 1.066667e+00 3.333333e-01
42604: 1.500000e+00 1.187500e+00 3.125000e-01
42604: 1.529412e+00 1.176471e+00 2.941176e-01
42604: 1.500000e+00 1.222222e+00 2.777778e-01
42604: 1.578947e+00 1.157895e+00 2.631579e-01
42604: 1.500000e+00 1.200000e+00 3.000000e-01
42604: 1.571429e+00 1.142857e+00 2.857143e-01
42604: 1.500000e+00 1.227273e+00 2.727273e-01
42604: 1.521739e+00 1.173913e+00 3.043478e-01
42604: 1.541667e+00 1.166667e+00 2.916667e-01
42604: 1.560000e+00 1.160000e+00 2.800000e-01
42604: 1.576923e+00 1.153846e+00 2.692308e-01
42604: 1.518519e+00 1.222222e+00 2.592593e-01
42604: 1.571429e+00 1.178571e+00 2.500000e-01
42604: 1.551724e+00 1.206897e+00 2.413793e-01
42604: 1.566667e+00 1.166667e+00 2.666667e-01
42604: 1.580645e+00 1.161290e+00 2.580645e-01
42604: 1.562500e+00 1.187500e+00 2.500000e-01
42604: 1.606061e+00 1.151515e+00 2.424242e-01
42604: 1.588235e+00 1.176471e+00 2.352941e-01
42604: 1.571429e+00 1.171429e+00 2.571429e-01
42604: 1.583333e+00 1.166667e+00 2.500000e-01
42604: 1.540541e+00 1.189189e+00 2.702703e-01
42604: 1.552632e+00 1.184211e+00 2.631579e-01
42604: 1.564103e+00 1.179487e+00 2.564103e-01
42604: 1.550000e+00 1.200000e+00 2.500000e-01
42604: 1.560976e+00 1.195122e+00 2.439024e-01
42604: 1.547619e+00 1.214286e+00 2.380952e-01
42604: 1.558140e+00 1.209302e+00 2.325581e-01
42604: 1.545455e+00 1.204545e+00 2.500000e-01
42604: 1.577778e+00 1.177778e+00 2.444444e-01
42604: 1.543478e+00 1.217391e+00 2.391304e-01
42604: 1.574468e+00 1.191489e+00 2.340426e-01
42604: 1.541667e+00 1.208333e+00 2.500000e-01
42604: 1.551020e+00 1.204082e+00 2.448980e-01
42604: 1.560000e+00 1.200000e+00 2.400000e-01
42604: 1.549020e+00 1.196078e+00 2.549020e-01
42604: 1.576923e+00 1.173077e+00 2.500000e-01
42604: 1.566038e+00 1.188679e+00 2.452830e-01
42604: 1.574074e+00 1.185185e+00 2.407407e-01
42604: 1.563636e+00 1.200000e+00 2.363636e-01
42604: 1.589286e+00 1.178571e+00 2.321429e-01
42604: 1.561404e+00 1.210526e+00 2.280702e-01
42604: 1.568966e+00 1.189655e+00 2.413793e-01
42604: 1.559322e+00 1.186441e+00 2.542373e-01
42604: 1.583333e+00 1.166667e+00 2.500000e-01
42604: 1.557377e+00 1.196721e+00 2.459016e-01
42604: 1.564516e+00 1.193548e+00 2.419355e-01
42604: 1.571429e+00 1.190476e+00 2.380952e-01
42604: 1.546875e+00 1.218750e+00 2.343750e-01
42604: 1.553846e+00 1.200000e+00 2.461538e-01
42604: 1.560606e+00 1.196970e+00 2.424242e-01
42604: 1.567164e+00 1.194030e+00 2.388060e-01
42604: 1.558824e+00 1.205882e+00 2.352941e-01
42604: 1.579710e+00 1.188406e+00 2.318841e-01
42604: 1.557143e+00 1.214286e+00 2.285714e-01
42604: 1.577465e+00 1.197183e+00 2.253521e-01
42604: 1.569444e+00 1.208333e+00 2.222222e-01
42604: 1.575342e+00 1.205479e+00 2.191781e-01
42604: 1.554054e+00 1.229730e+00 2.162162e-01
42604: 1.573333e+00 1.213333e+00 2.133333e-01
42604: 1.565789e+00 1.223684e+00 2.105263e-01
42604: 1.584416e+00 1.207792e+00 2.077922e-01
42604: 1.576923e+00 1.217949e+00 2.051282e-01
42604: 1.569620e+00 1.227848e+00 2.025316e-01
42604: 1.575000e+00 1.225000e+00 2.000000e-01
42604: 1.555556e+00 1.246914e+00 1.975309e-01
42604: 1.573171e+00 1.231707e+00 1.951220e-01
42604: 1.554217e+00 1.253012e+00 1.927711e-01
42604: 1.559524e+00 1.250000e+00 1.904762e-01
42604: 1.552941e+00 1.247059e+00 2.000000e-01
42604: 1.558140e+00 1.232558e+00 2.093023e-01
42604: 1.551724e+00 1.241379e+00 2.068966e-01
42604: 1.568182e+00 1.227273e+00 2.045455e-01
42604: 1.573034e+00 1.224719e+00 2.022472e-01
42604: 1.555556e+00 1.233333e+00 2.111111e-01
42604: 1.560440e+00 1.230769e+00 2.087912e-01
42604: 1.554348e+00 1.228261e+00 2.173913e-01
42604: 1.559140e+00 1.225806e+00 2.150538e-01
42604: 1.553191e+00 1.223404e+00 2.234043e-01
42604: 1.557895e+00 1.221053e+00 2.210526e-01
42604: 1.552083e+00 1.229167e+00 2.187500e-01
42604: 1.567010e+00 1.216495e+00 2.164948e-01
42604: 1.561224e+00 1.224490e+00 2.142857e-01
42604: 1.565657e+00 1.212121e+00 2.222222e-01
42604: 1.560000e+00 1.220000e+00 2.200000e-01
42604: 1.574257e+00 1.207921e+00 2.178218e-01
42604: 1.558824e+00 1.225490e+00 2.156863e-01
42604: 1.563107e+00 1.223301e+00 2.135922e-01
42604: 1.557692e+00 1.230769e+00 2.115385e-01
42604: 1.571429e+00 1.219048e+00 2.095238e-01
42604: 1.566038e+00 1.226415e+00 2.075472e-01
42604: 1.570093e+00 1.224299e+00 2.056075e-01
42604: 1.555556e+00 1.231481e+00 2.129630e-01
42604: 1.559633e+00 1.229358e+00 2.110092e-01
42604: 1.563636e+00 1.227273e+00 2.090909e-01
42604: 1.567568e+00 1.225225e+00 2.072072e-01
