Forked 42411
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42411)
42411: Started!
42411: Number of players: 3, position: 0, number of turns: 1000
42411: Random seed: 3752744336
Strategy 0: first ans is 0
Forked 42412
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 42412)
Strategy 1: first ans is 1
Forked 42413
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42413)
Strategy 2: first ans is 0
42411: 2.000000e+00 1.000000e+00 0.000000e+00
42411: 1.000000e+00 1.500000e+00 5.000000e-01
42411: 1.666667e+00 1.000000e+00 3.333333e-01
42411: 1.250000e+00 1.250000e+00 5.000000e-01
42411: 1.400000e+00 1.000000e+00 6.000000e-01
42411: 1.500000e+00 1.000000e+00 5.000000e-01
42411: 1.428571e+00 1.000000e+00 5.714286e-01
42411: 1.500000e+00 8.750000e-01 6.250000e-01
42411: 1.555556e+00 8.888889e-01 5.555556e-01
42411: 1.500000e+00 9.000000e-01 6.000000e-01
42411: 1.636364e+00 8.181818e-01 5.454545e-01
42411: 1.583333e+00 9.166667e-01 5.000000e-01
42411: 1.615385e+00 9.230769e-01 4.615385e-01
42411: 1.571429e+00 1.000000e+00 4.285714e-01
42411: 1.600000e+00 1.000000e+00 4.000000e-01
42411: 1.562500e+00 1.062500e+00 3.750000e-01
42411: 1.588235e+00 1.000000e+00 4.117647e-01
42411: 1.500000e+00 1.055556e+00 4.444444e-01
42411: 1.526316e+00 1.052632e+00 4.210526e-01
42411: 1.550000e+00 1.050000e+00 4.000000e-01
42411: 1.523810e+00 1.047619e+00 4.285714e-01
42411: 1.545455e+00 1.000000e+00 4.545455e-01
42411: 1.521739e+00 1.000000e+00 4.782609e-01
42411: 1.541667e+00 1.000000e+00 4.583333e-01
42411: 1.560000e+00 1.000000e+00 4.400000e-01
42411: 1.576923e+00 1.000000e+00 4.230769e-01
42411: 1.518519e+00 1.074074e+00 4.074074e-01
42411: 1.535714e+00 1.035714e+00 4.285714e-01
42411: 1.551724e+00 1.034483e+00 4.137931e-01
42411: 1.566667e+00 1.033333e+00 4.000000e-01
42411: 1.580645e+00 1.032258e+00 3.870968e-01
42411: 1.531250e+00 1.093750e+00 3.750000e-01
42411: 1.545455e+00 1.090909e+00 3.636364e-01
42411: 1.558824e+00 1.088235e+00 3.529412e-01
42411: 1.571429e+00 1.085714e+00 3.428571e-01
42411: 1.555556e+00 1.111111e+00 3.333333e-01
42411: 1.567568e+00 1.081081e+00 3.513514e-01
42411: 1.552632e+00 1.078947e+00 3.684211e-01
42411: 1.564103e+00 1.051282e+00 3.846154e-01
42411: 1.550000e+00 1.050000e+00 4.000000e-01
42411: 1.560976e+00 1.024390e+00 4.146341e-01
42411: 1.571429e+00 1.023810e+00 4.047619e-01
42411: 1.558140e+00 1.046512e+00 3.953488e-01
42411: 1.590909e+00 1.022727e+00 3.863636e-01
42411: 1.555556e+00 1.044444e+00 4.000000e-01
42411: 1.565217e+00 1.021739e+00 4.130435e-01
42411: 1.553191e+00 1.021277e+00 4.255319e-01
42411: 1.583333e+00 1.000000e+00 4.166667e-01
42411: 1.571429e+00 1.020408e+00 4.081633e-01
42411: 1.560000e+00 1.040000e+00 4.000000e-01
42411: 1.568627e+00 1.039216e+00 3.921569e-01
42411: 1.557692e+00 1.038462e+00 4.038462e-01
42411: 1.566038e+00 1.018868e+00 4.150943e-01
42411: 1.555556e+00 1.037037e+00 4.074074e-01
42411: 1.563636e+00 1.018182e+00 4.181818e-01
42411: 1.571429e+00 1.017857e+00 4.107143e-01
42411: 1.543860e+00 1.035088e+00 4.210526e-01
42411: 1.551724e+00 1.034483e+00 4.137931e-01
42411: 1.542373e+00 1.033898e+00 4.237288e-01
42411: 1.550000e+00 1.033333e+00 4.166667e-01
42411: 1.540984e+00 1.032787e+00 4.262295e-01
42411: 1.564516e+00 1.016129e+00 4.193548e-01
42411: 1.571429e+00 1.015873e+00 4.126984e-01
42411: 1.546875e+00 1.031250e+00 4.218750e-01
42411: 1.569231e+00 1.015385e+00 4.153846e-01
42411: 1.575758e+00 1.015152e+00 4.090909e-01
42411: 1.567164e+00 1.029851e+00 4.029851e-01
42411: 1.573529e+00 1.014706e+00 4.117647e-01
42411: 1.565217e+00 1.028986e+00 4.057971e-01
42411: 1.585714e+00 1.014286e+00 4.000000e-01
42411: 1.563380e+00 1.042254e+00 3.943662e-01
42411: 1.583333e+00 1.027778e+00 3.888889e-01
42411: 1.561644e+00 1.041096e+00 3.972603e-01
42411: 1.567568e+00 1.027027e+00 4.054054e-01
42411: 1.573333e+00 1.026667e+00 4.000000e-01
42411: 1.552632e+00 1.052632e+00 3.947368e-01
42411: 1.571429e+00 1.038961e+00 3.896104e-01
42411: 1.551282e+00 1.051282e+00 3.974359e-01
42411: 1.556962e+00 1.050633e+00 3.924051e-01
42411: 1.550000e+00 1.050000e+00 4.000000e-01
42411: 1.555556e+00 1.037037e+00 4.074074e-01
42411: 1.560976e+00 1.036585e+00 4.024390e-01
42411: 1.566265e+00 1.036145e+00 3.975904e-01
42411: 1.571429e+00 1.035714e+00 3.928571e-01
42411: 1.564706e+00 1.047059e+00 3.882353e-01
42411: 1.569767e+00 1.046512e+00 3.837209e-01
42411: 1.574713e+00 1.045977e+00 3.793103e-01
42411: 1.556818e+00 1.068182e+00 3.750000e-01
42411: 1.573034e+00 1.056180e+00 3.707865e-01
42411: 1.555556e+00 1.066667e+00 3.777778e-01
42411: 1.571429e+00 1.054945e+00 3.736264e-01
42411: 1.554348e+00 1.065217e+00 3.804348e-01
42411: 1.569892e+00 1.053763e+00 3.763441e-01
42411: 1.574468e+00 1.053191e+00 3.723404e-01
42411: 1.568421e+00 1.063158e+00 3.684211e-01
42411: 1.572917e+00 1.052083e+00 3.750000e-01
42411: 1.567010e+00 1.061856e+00 3.711340e-01
42411: 1.581633e+00 1.051020e+00 3.673469e-01
42411: 1.565657e+00 1.060606e+00 3.737374e-01
42411: 1.570000e+00 1.050000e+00 3.800000e-01
42411: 1.554455e+00 1.069307e+00 3.762376e-01
42411: 1.558824e+00 1.058824e+00 3.823529e-01
42411: 1.563107e+00 1.058252e+00 3.786408e-01
42411: 1.557692e+00 1.057692e+00 3.846154e-01
42411: 1.571429e+00 1.047619e+00 3.809524e-01
42411: 1.556604e+00 1.066038e+00 3.773585e-01
42411: 1.560748e+00 1.056075e+00 3.831776e-01
42411: 1.555556e+00 1.055556e+00 3.888889e-01
42411: 1.568807e+00 1.045872e+00 3.853211e-01
42411: 1.563636e+00 1.054545e+00 3.818182e-01
42411: 1.567568e+00 1.045045e+00 3.873874e-01
42411: 1.571429e+00 1.044643e+00 3.839286e-01
42411: 1.557522e+00 1.053097e+00 3.893805e-01
42411: 1.561404e+00 1.052632e+00 3.859649e-01
42411: 1.556522e+00 1.052174e+00 3.913043e-01
42411: 1.560345e+00 1.043103e+00 3.965517e-01
42411: 1.564103e+00 1.042735e+00 3.931624e-01
42411: 1.559322e+00 1.042373e+00 3.983051e-01
42411: 1.563025e+00 1.042017e+00 3.949580e-01
42411: 1.558333e+00 1.050000e+00 3.916667e-01
42411: 1.561983e+00 1.041322e+00 3.966942e-01
42411: 1.557377e+00 1.040984e+00 4.016393e-01
42411: 1.560976e+00 1.032520e+00 4.065041e-01
42411: 1.564516e+00 1.032258e+00 4.032258e-01
42411: 1.560000e+00 1.032000e+00 4.080000e-01
42411: 1.571429e+00 1.023810e+00 4.047619e-01
42411: 1.559055e+00 1.031496e+00 4.094488e-01
42411: 1.570312e+00 1.023438e+00 4.062500e-01
42411: 1.565891e+00 1.031008e+00 4.031008e-01
42411: 1.569231e+00 1.023077e+00 4.076923e-01
42411: 1.572519e+00 1.022901e+00 4.045802e-01
42411: 1.560606e+00 1.037879e+00 4.015152e-01
42411: 1.571429e+00 1.030075e+00 3.984962e-01
42411: 1.567164e+00 1.037313e+00 3.955224e-01
42411: 1.577778e+00 1.029630e+00 3.925926e-01
42411: 1.566176e+00 1.044118e+00 3.897059e-01
42411: 1.576642e+00 1.036496e+00 3.868613e-01
42411: 1.565217e+00 1.043478e+00 3.913043e-01
42411: 1.575540e+00 1.035971e+00 3.884892e-01
42411: 1.564286e+00 1.042857e+00 3.928571e-01
42411: 1.567376e+00 1.042553e+00 3.900709e-01
42411: 1.563380e+00 1.049296e+00 3.873239e-01
42411: 1.566434e+00 1.041958e+00 3.916084e-01
42411: 1.562500e+00 1.041667e+00 3.958333e-01
42411: 1.565517e+00 1.041379e+00 3.931034e-01
42411: 1.568493e+00 1.041096e+00 3.904110e-01
42411: 1.571429e+00 1.040816e+00 3.877551e-01
42411: 1.560811e+00 1.047297e+00 3.918919e-01
42411: 1.563758e+00 1.040268e+00 3.959732e-01
42411: 1.566667e+00 1.040000e+00 3.933333e-01
42411: 1.569536e+00 1.039735e+00 3.907285e-01
42411: 1.565789e+00 1.039474e+00 3.947368e-01
42411: 1.568627e+00 1.032680e+00 3.986928e-01
42411: 1.564935e+00 1.032468e+00 4.025974e-01
42411: 1.574194e+00 1.025806e+00 4.000000e-01
42411: 1.570513e+00 1.032051e+00 3.974359e-01
42411: 1.566879e+00 1.038217e+00 3.949045e-01
42411: 1.575949e+00 1.031646e+00 3.924051e-01
42411: 1.566038e+00 1.044025e+00 3.899371e-01
42411: 1.575000e+00 1.037500e+00 3.875000e-01
42411: 1.565217e+00 1.049689e+00 3.850932e-01
42411: 1.567901e+00 1.049383e+00 3.827160e-01
42411: 1.570552e+00 1.049080e+00 3.803681e-01
42411: 1.567073e+00 1.054878e+00 3.780488e-01
42411: 1.575758e+00 1.048485e+00 3.757576e-01
