Forked 42766
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42766)
Strategy 0: first ans is 1
Forked 42790
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 42790)
Strategy 1: first ans is 0
Forked 42791
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42791)
42791: Started!
42791: Number of players: 3, position: 2, number of turns: 1000
42791: Random seed: 562555261
Strategy 2: first ans is 1
42791: 1.000000e+00 2.000000e+00 0.000000e+00
42791: 1.500000e+00 1.500000e+00 0.000000e+00
42791: 1.666667e+00 1.333333e+00 0.000000e+00
42791: 1.750000e+00 1.250000e+00 0.000000e+00
42791: 1.600000e+00 1.400000e+00 0.000000e+00
42791: 1.500000e+00 1.500000e+00 0.000000e+00
42791: 1.714286e+00 1.285714e+00 0.000000e+00
42791: 1.625000e+00 1.375000e+00 0.000000e+00
42791: 1.555556e+00 1.444444e+00 0.000000e+00
42791: 1.600000e+00 1.300000e+00 1.000000e-01
42791: 1.545455e+00 1.363636e+00 9.090909e-02
42791: 1.583333e+00 1.333333e+00 8.333333e-02
42791: 1.538462e+00 1.384615e+00 7.692308e-02
42791: 1.571429e+00 1.357143e+00 7.142857e-02
42791: 1.600000e+00 1.333333e+00 6.666667e-02
42791: 1.562500e+00 1.375000e+00 6.250000e-02
42791: 1.647059e+00 1.294118e+00 5.882353e-02
42791: 1.666667e+00 1.277778e+00 5.555556e-02
42791: 1.631579e+00 1.315789e+00 5.263158e-02
42791: 1.600000e+00 1.300000e+00 1.000000e-01
42791: 1.571429e+00 1.333333e+00 9.523810e-02
42791: 1.590909e+00 1.318182e+00 9.090909e-02
42791: 1.521739e+00 1.347826e+00 1.304348e-01
42791: 1.541667e+00 1.333333e+00 1.250000e-01
42791: 1.560000e+00 1.280000e+00 1.600000e-01
42791: 1.538462e+00 1.307692e+00 1.538462e-01
42791: 1.555556e+00 1.259259e+00 1.851852e-01
42791: 1.571429e+00 1.214286e+00 2.142857e-01
42791: 1.586207e+00 1.206897e+00 2.068966e-01
42791: 1.566667e+00 1.200000e+00 2.333333e-01
42791: 1.612903e+00 1.161290e+00 2.258065e-01
42791: 1.593750e+00 1.156250e+00 2.500000e-01
42791: 1.606061e+00 1.151515e+00 2.424242e-01
42791: 1.588235e+00 1.176471e+00 2.352941e-01
42791: 1.600000e+00 1.171429e+00 2.285714e-01
42791: 1.583333e+00 1.194444e+00 2.222222e-01
42791: 1.567568e+00 1.216216e+00 2.162162e-01
42791: 1.552632e+00 1.236842e+00 2.105263e-01
42791: 1.589744e+00 1.205128e+00 2.051282e-01
42791: 1.600000e+00 1.200000e+00 2.000000e-01
42791: 1.609756e+00 1.195122e+00 1.951220e-01
42791: 1.619048e+00 1.190476e+00 1.904762e-01
42791: 1.581395e+00 1.232558e+00 1.860465e-01
42791: 1.590909e+00 1.227273e+00 1.818182e-01
42791: 1.577778e+00 1.244444e+00 1.777778e-01
42791: 1.586957e+00 1.239130e+00 1.739130e-01
42791: 1.595745e+00 1.234043e+00 1.702128e-01
42791: 1.583333e+00 1.250000e+00 1.666667e-01
42791: 1.571429e+00 1.265306e+00 1.632653e-01
42791: 1.580000e+00 1.260000e+00 1.600000e-01
42791: 1.588235e+00 1.254902e+00 1.568627e-01
42791: 1.576923e+00 1.250000e+00 1.730769e-01
42791: 1.566038e+00 1.264151e+00 1.698113e-01
42791: 1.574074e+00 1.259259e+00 1.666667e-01
42791: 1.545455e+00 1.290909e+00 1.636364e-01
42791: 1.553571e+00 1.285714e+00 1.607143e-01
42791: 1.578947e+00 1.263158e+00 1.578947e-01
42791: 1.586207e+00 1.258621e+00 1.551724e-01
42791: 1.576271e+00 1.254237e+00 1.694915e-01
42791: 1.550000e+00 1.266667e+00 1.833333e-01
42791: 1.557377e+00 1.262295e+00 1.803279e-01
42791: 1.564516e+00 1.258065e+00 1.774194e-01
42791: 1.587302e+00 1.238095e+00 1.746032e-01
42791: 1.593750e+00 1.234375e+00 1.718750e-01
42791: 1.584615e+00 1.230769e+00 1.846154e-01
42791: 1.590909e+00 1.227273e+00 1.818182e-01
42791: 1.582090e+00 1.223881e+00 1.940299e-01
42791: 1.573529e+00 1.235294e+00 1.911765e-01
42791: 1.565217e+00 1.246377e+00 1.884058e-01
42791: 1.571429e+00 1.242857e+00 1.857143e-01
42791: 1.549296e+00 1.267606e+00 1.830986e-01
42791: 1.555556e+00 1.263889e+00 1.805556e-01
42791: 1.561644e+00 1.260274e+00 1.780822e-01
42791: 1.567568e+00 1.256757e+00 1.756757e-01
42791: 1.586667e+00 1.240000e+00 1.733333e-01
42791: 1.592105e+00 1.236842e+00 1.710526e-01
42791: 1.584416e+00 1.246753e+00 1.688312e-01
42791: 1.576923e+00 1.256410e+00 1.666667e-01
42791: 1.582278e+00 1.253165e+00 1.645570e-01
42791: 1.575000e+00 1.262500e+00 1.625000e-01
42791: 1.567901e+00 1.271605e+00 1.604938e-01
42791: 1.560976e+00 1.280488e+00 1.585366e-01
42791: 1.566265e+00 1.277108e+00 1.566265e-01
42791: 1.571429e+00 1.273810e+00 1.547619e-01
42791: 1.552941e+00 1.282353e+00 1.647059e-01
42791: 1.558140e+00 1.279070e+00 1.627907e-01
42791: 1.574713e+00 1.264368e+00 1.609195e-01
42791: 1.579545e+00 1.261364e+00 1.590909e-01
42791: 1.573034e+00 1.269663e+00 1.573034e-01
42791: 1.566667e+00 1.277778e+00 1.555556e-01
42791: 1.571429e+00 1.274725e+00 1.538462e-01
42791: 1.576087e+00 1.271739e+00 1.521739e-01
42791: 1.580645e+00 1.268817e+00 1.505376e-01
42791: 1.574468e+00 1.265957e+00 1.595745e-01
42791: 1.568421e+00 1.273684e+00 1.578947e-01
42791: 1.572917e+00 1.270833e+00 1.562500e-01
42791: 1.567010e+00 1.268041e+00 1.649485e-01
42791: 1.571429e+00 1.265306e+00 1.632653e-01
42791: 1.565657e+00 1.262626e+00 1.717172e-01
42791: 1.570000e+00 1.250000e+00 1.800000e-01
42791: 1.564356e+00 1.247525e+00 1.881188e-01
