Forked 38422
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 38422)
Strategy 0: first ans is 0
Forked 38446
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 38446)
Strategy 1: first ans is 0
Forked 38447
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 38447)
Strategy 2: first ans is 0
Forked 38471
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 38471)
38471: Started!
38471: Number of players: 4, position: 3, number of turns: 1000
38471: Random seed: 1989046678
Strategy 3: first ans is 0
38471: 4.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
38471: 3.000000e+00 5.000000e-01 5.000000e-01 0.000000e+00
38471: 2.666667e+00 6.666667e-01 6.666667e-01 0.000000e+00
38471: 2.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00
38471: 2.200000e+00 1.200000e+00 6.000000e-01 0.000000e+00
38471: 2.166667e+00 1.166667e+00 5.000000e-01 1.666667e-01
38471: 2.142857e+00 1.142857e+00 5.714286e-01 1.428571e-01
38471: 2.125000e+00 1.125000e+00 6.250000e-01 1.250000e-01
38471: 2.111111e+00 1.222222e+00 5.555556e-01 1.111111e-01
38471: 2.000000e+00 1.200000e+00 7.000000e-01 1.000000e-01
38471: 1.909091e+00 1.272727e+00 6.363636e-01 1.818182e-01
38471: 1.833333e+00 1.333333e+00 6.666667e-01 1.666667e-01
38471: 1.769231e+00 1.384615e+00 6.923077e-01 1.538462e-01
38471: 1.714286e+00 1.428571e+00 7.142857e-01 1.428571e-01
38471: 1.733333e+00 1.400000e+00 7.333333e-01 1.333333e-01
38471: 1.687500e+00 1.375000e+00 8.125000e-01 1.250000e-01
38471: 1.705882e+00 1.352941e+00 8.235294e-01 1.176471e-01
38471: 1.666667e+00 1.333333e+00 8.888889e-01 1.111111e-01
38471: 1.631579e+00 1.368421e+00 8.947368e-01 1.052632e-01
38471: 1.600000e+00 1.350000e+00 9.500000e-01 1.000000e-01
38471: 1.619048e+00 1.380952e+00 9.047619e-01 9.523810e-02
38471: 1.636364e+00 1.409091e+00 8.636364e-01 9.090909e-02
38471: 1.608696e+00 1.391304e+00 9.130435e-01 8.695652e-02
38471: 1.666667e+00 1.375000e+00 8.750000e-01 8.333333e-02
38471: 1.680000e+00 1.400000e+00 8.400000e-01 8.000000e-02
38471: 1.653846e+00 1.423077e+00 8.076923e-01 1.153846e-01
38471: 1.629630e+00 1.444444e+00 8.148148e-01 1.111111e-01
38471: 1.607143e+00 1.428571e+00 8.571429e-01 1.071429e-01
38471: 1.655172e+00 1.413793e+00 8.275862e-01 1.034483e-01
