Forked 29948
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 29948)
Strategy 0: first ans is 0
Forked 29949
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 29949)
Strategy 1: first ans is 0
Forked 29973
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 29973)
Strategy 2: first ans is 0
Forked 29974
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 29974)
29974: Started!
29974: Number of players: 6, position: 3, number of turns: 1000
29974: Random seed: 20996773
Strategy 3: first ans is 1
Forked 29975
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 29975)
Strategy 4: first ans is 1
Forked 29999
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 29999)
Strategy 5: first ans is 1
29974: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
29974: 2.500000e+00 1.500000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
29974: 2.666667e+00 1.666667e+00 1.333333e+00 0.000000e+00 0.000000e+00 3.333333e-01
29974: 2.500000e+00 1.250000e+00 1.750000e+00 2.500000e-01 0.000000e+00 2.500000e-01
29974: 2.400000e+00 1.600000e+00 1.400000e+00 4.000000e-01 0.000000e+00 2.000000e-01
29974: 2.333333e+00 1.500000e+00 1.500000e+00 3.333333e-01 0.000000e+00 3.333333e-01
29974: 2.428571e+00 1.571429e+00 1.428571e+00 2.857143e-01 0.000000e+00 2.857143e-01
29974: 2.375000e+00 1.375000e+00 1.500000e+00 3.750000e-01 1.250000e-01 2.500000e-01
29974: 2.333333e+00 1.555556e+00 1.333333e+00 4.444444e-01 1.111111e-01 2.222222e-01
29974: 2.400000e+00 1.500000e+00 1.300000e+00 5.000000e-01 1.000000e-01 2.000000e-01
29974: 2.363636e+00 1.636364e+00 1.181818e+00 4.545455e-01 1.818182e-01 1.818182e-01
29974: 2.333333e+00 1.583333e+00 1.333333e+00 4.166667e-01 1.666667e-01 1.666667e-01
29974: 2.307692e+00 1.615385e+00 1.307692e+00 4.615385e-01 1.538462e-01 1.538462e-01
29974: 2.428571e+00 1.500000e+00 1.357143e+00 4.285714e-01 1.428571e-01 1.428571e-01
29974: 2.466667e+00 1.533333e+00 1.333333e+00 4.000000e-01 1.333333e-01 1.333333e-01
29974: 2.500000e+00 1.562500e+00 1.312500e+00 3.750000e-01 1.250000e-01 1.250000e-01
29974: 2.529412e+00 1.529412e+00 1.294118e+00 3.529412e-01 1.764706e-01 1.176471e-01
29974: 2.555556e+00 1.555556e+00 1.222222e+00 3.888889e-01 1.666667e-01 1.111111e-01
