Forked 43557
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 43557)
Strategy 0: first ans is 1
Forked 43558
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43558)
Strategy 1: first ans is 0
Forked 43559
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43559)
43559: Started!
43559: Number of players: 3, position: 2, number of turns: 1000
43559: Random seed: 573723795
Strategy 2: first ans is 1
43559: 1.000000e+00 2.000000e+00 0.000000e+00
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.333333e+00 1.333333e+00 3.333333e-01
43559: 1.500000e+00 1.250000e+00 2.500000e-01
43559: 1.400000e+00 1.200000e+00 4.000000e-01
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.428571e+00 1.000000e+00 5.714286e-01
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.444444e+00 1.000000e+00 5.555556e-01
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.454545e+00 1.090909e+00 4.545455e-01
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.538462e+00 1.000000e+00 4.615385e-01
43559: 1.500000e+00 1.071429e+00 4.285714e-01
43559: 1.533333e+00 1.000000e+00 4.666667e-01
43559: 1.500000e+00 1.000000e+00 5.000000e-01
43559: 1.588235e+00 9.411765e-01 4.705882e-01
43559: 1.500000e+00 1.055556e+00 4.444444e-01
43559: 1.526316e+00 1.000000e+00 4.736842e-01
43559: 1.550000e+00 1.000000e+00 4.500000e-01
43559: 1.571429e+00 1.000000e+00 4.285714e-01
43559: 1.545455e+00 1.045455e+00 4.090909e-01
43559: 1.565217e+00 1.000000e+00 4.347826e-01
43559: 1.541667e+00 1.000000e+00 4.583333e-01
43559: 1.560000e+00 1.000000e+00 4.400000e-01
43559: 1.538462e+00 1.000000e+00 4.615385e-01
43559: 1.592593e+00 9.629630e-01 4.444444e-01
